+-----------------------------------------------------------------------------------------------------------------------+
| key                                           | types                        | occurrences | percents                 |
| --------------------------------------------- | ---------------------------- | ----------- | ------------------------ |
| _id                                           | ObjectId                     |     1550597 | 100.00000000000000000000 |
| created                                       | Object                       |     1550597 | 100.00000000000000000000 |
| created.changeset                             | String                       |     1550597 | 100.00000000000000000000 |
| created.timestamp                             | String                       |     1550597 | 100.00000000000000000000 |
| created.uid                                   | String                       |     1550597 | 100.00000000000000000000 |
| created.user                                  | String                       |     1550597 | 100.00000000000000000000 |
| created.version                               | String                       |     1550597 | 100.00000000000000000000 |
| id                                            | String (1550565),Object (32) |     1550597 | 100.00000000000000000000 |
| pos                                           | Array                        |     1550597 | 100.00000000000000000000 |
| type                                          | String                       |     1550597 | 100.00000000000000000000 |
| name                                          | Object (170),String (12372)  |       12542 |   0.80884975270815051562 |
| source                                        | String (12150),Object (6)    |       12156 |   0.78395611496733197399 |
| address                                       | Object                       |       12056 |   0.77750698601893331041 |
| address.street                                | String                       |       11872 |   0.76564058875387996927 |
| highway                                       | String                       |       10787 |   0.69566753966375527440 |
| address.housenumber                           | String                       |       10025 |   0.64652517707695811300 |
| amenity                                       | String                       |        9890 |   0.63781885299662000044 |
| power                                         | String                       |        5575 |   0.35953893887322108114 |
| natural                                       | String                       |        4291 |   0.27673212317578327335 |
| shop                                          | String                       |        3004 |   0.19373183360989348900 |
| crossing                                      | String                       |        2273 |   0.14658870099709983559 |
| address.city                                  | String                       |        2252 |   0.14523438391793611069 |
| capacity                                      | String (1640),Object (1)     |        1641 |   0.10583020604322077030 |
| phone                                         | String (1575),Object (33)    |        1608 |   0.10370199349024923630 |
| address.postcode                              | String                       |        1584 |   0.10215420254263357647 |
| traffic_calming                               | String                       |        1441 |   0.09293194814642360968 |
| covered                                       | String                       |        1373 |   0.08854654046151257119 |
| IPP                                           | Object                       |        1316 |   0.08487053696092537736 |
| address.country                               | String                       |        1237 |   0.07977572509169049420 |
| bicycle_parking                               | String (1168),Object (54)    |        1222 |   0.07880835574943070854 |
| IPP.ENDNOVO                                   | String                       |        1183 |   0.07629319545955524917 |
| IPP.CODATIVIDA                                | String                       |        1182 |   0.07622870417007127086 |
| IPP.CRE                                       | String                       |        1182 |   0.07622870417007127086 |
| IPP.DESIGNACAO                                | String                       |        1182 |   0.07622870417007127086 |
| IPP.BAIRRO                                    | String                       |        1180 |   0.07609972159110330037 |
| IPP.CODBAIRRO                                 | String                       |        1178 |   0.07597073901213532987 |
| IPP.COD_INEP                                  | String                       |        1177 |   0.07590624772265133768 |
| barrier                                       | String                       |        1177 |   0.07590624772265133768 |
| IPP.CHAVE                                     | String                       |        1150 |   0.07416498290658372905 |
| IPP.COD_SMA                                   | String                       |        1150 |   0.07416498290658372905 |
| fee                                           | String                       |        1104 |   0.07119838359032037989 |
| operator                                      | String (1092),Object (8)     |        1100 |   0.07094041843238442502 |
| IPP.FLG_VALIDA                                | String                       |        1070 |   0.06900567974786485370 |
| ele                                           | String                       |         924 |   0.05958995148320292423 |
| place                                         | String                       |         839 |   0.05410819187706412264 |
| denotation                                    | String                       |         815 |   0.05256040092944846281 |
| IPP.ENDERECO                                  | String                       |         784 |   0.05056117095544490625 |
| website                                       | String                       |         774 |   0.04991625806060504683 |
| ref                                           | String (698),Object (1)      |         699 |   0.04507941134930610466 |
| railway                                       | String (686),Object (1)      |         687 |   0.04430551587549827475 |
| IPP.TELEFONES                                 | String                       |         651 |   0.04198382945407478500 |
| tourism                                       | String                       |         577 |   0.03721147403225983502 |
| cuisine                                       | String                       |         576 |   0.03714698274277584977 |
| address.suburb                                | String                       |         563 |   0.03630859597948402767 |
| seamark                                       | Object                       |         556 |   0.03585715695309613094 |
| seamark.type                                  | String                       |         556 |   0.03585715695309613094 |
| shelter                                       | String                       |         425 |   0.02740879803069398366 |
| traffic_signals                               | String (27),Object (396)     |         423 |   0.02727981545172601316 |
| note                                          | String (399),Object (18)     |         417 |   0.02689286771482209820 |
| created_by                                    | String                       |         413 |   0.02663490255688615374 |
| bench                                         | String                       |         403 |   0.02598998966204629432 |
| traffic_signals.direction                     | String                       |         394 |   0.02540956805669042362 |
| opening_hours                                 | String                       |         384 |   0.02476465516185056420 |
| atm                                           | String (372),Object (1)      |         373 |   0.02405525097752671954 |
| leisure                                       | String                       |         368 |   0.02373279453010678983 |
| man_made                                      | String                       |         359 |   0.02315237292475091913 |
| tactile_paving                                | String                       |         348 |   0.02244296874042707446 |
| religion                                      | String                       |         342 |   0.02205602100352315950 |
| noexit                                        | String                       |         318 |   0.02050823005590749967 |
| building                                      | String (296),Object (20)     |         316 |   0.02037924747693952571 |
| wheelchair                                    | String                       |         303 |   0.01954086071364771054 |
| maxspeed                                      | String (298),Object (4)      |         302 |   0.01947636942416372530 |
| network                                       | String                       |         280 |   0.01805756105551603596 |
| public_transport                              | String                       |         273 |   0.01760612202912813576 |
