+----------------------------------------------------------------------------------------------------------------------------+
| key                                                 | types                        | occurrences | percents                |
| --------------------------------------------------- | ---------------------------- | ----------- | ----------------------- |
| _id                                                 | ObjectId                     |      186381 | 100.0000000000000000000 |
| created                                             | Object                       |      186381 | 100.0000000000000000000 |
| created.changeset                                   | String                       |      186381 | 100.0000000000000000000 |
| created.timestamp                                   | String                       |      186381 | 100.0000000000000000000 |
| created.uid                                         | String                       |      186381 | 100.0000000000000000000 |
| created.user                                        | String                       |      186381 | 100.0000000000000000000 |
| created.version                                     | String                       |      186381 | 100.0000000000000000000 |
| id                                                  | String                       |      186381 | 100.0000000000000000000 |
| node_refs                                           | Array                        |      186381 | 100.0000000000000000000 |
| type                                                | String                       |      186381 | 100.0000000000000000000 |
| highway                                             | String                       |      108745 |  58.3455395131477985160 |
| building                                            | String (49684),Object (1320) |       51004 |  27.3654503409682305914 |
| name                                                | String (48985),Object (107)  |       49092 |  26.3395947011766224932 |
| height                                              | String                       |       33628 |  18.0426116395984585949 |
| source                                              | String (32930),Object (214)  |       33144 |  17.7829285173917952534 |
| ele                                                 | String                       |       29432 |  15.7913091999720993641 |
| oneway                                              | String (21465),Object (62)   |       21527 |  11.5499970490554293434 |
| top_ele                                             | String                       |       18291 |   9.8137685708307174082 |
| surface                                             | String                       |       13504 |   7.2453737237164732576 |
| layer                                               | String                       |        6247 |   3.3517364967459131186 |
| lit                                                 | String                       |        5692 |   3.0539593628105867751 |
| lanes                                               | String (5023),Object (56)    |        5079 |   2.7250631770405782106 |
| bridge                                              | String (4809),Object (6)     |        4815 |   2.5834178376551260037 |
| landuse                                             | String                       |        4608 |   2.4723550147278960942 |
| address                                             | Object                       |        3688 |   1.9787424683846528417 |
| access                                              | String (3599),Object (15)    |        3614 |   1.9390388505266094032 |
| maxspeed                                            | String (3176),Object (86)    |        3262 |   1.7501783980126730533 |
| leisure                                             | String                       |        3261 |   1.7496418626362129078 |
| natural                                             | String                       |        3110 |   1.6686250207907458165 |
| IPP                                                 | Object                       |        2731 |   1.4652781131123879810 |
| amenity                                             | String                       |        2486 |   1.3338269458796765399 |
| foot                                                | String                       |        2238 |   1.2007661725175848844 |
| service                                             | String                       |        2141 |   1.1487222410009603202 |
| railway                                             | String (2028),Object (76)    |        2104 |   1.1288704320719387120 |
| waterway                                            | String                       |        2093 |   1.1229685429308782219 |
| address.street                                      | String                       |        2047 |   1.0982879156137159704 |
| ref                                                 | String (1835),Object (6)     |        1841 |   0.9877616280629463175 |
| address.interpolation                               | String                       |        1715 |   0.9201581706289804208 |
| address.housenumber                                 | String                       |        1553 |   0.8332394396424528393 |
| sport                                               | String (1514),Object (1)     |        1515 |   0.8128510953369710856 |
| address.inclusion                                   | String                       |        1450 |   0.7779762958670679573 |
| address.city                                        | String                       |        1310 |   0.7028613431626614672 |
| bicycle                                             | String                       |        1260 |   0.6760345743396590779 |
| building.building                                   | String                       |        1219 |   0.6540366239047971098 |
| building.levels                                     | String                       |        1219 |   0.6540366239047971098 |
| parking                                             | Object (901),String (285)    |        1186 |   0.6363309564816156394 |
| IPP.CODLINFERR                                      | String                       |        1118 |   0.5998465508823324077 |
| alt_name                                            | String (1117),Object (1)     |        1118 |   0.5998465508823324077 |
| operator                                            | String (1034),Object (14)    |        1048 |   0.5622890745301291071 |
| IPP.CodFavela                                       | String                       |        1010 |   0.5419007302246473534 |
| address.postcode                                    | String                       |         983 |   0.5274142750602260898 |
| gauge                                               | String                       |         973 |   0.5220489212956256342 |
| electrified                                         | String                       |         896 |   0.4807356973082020368 |
| parking.lane                                        | Object                       |         876 |   0.4700049897790010700 |
| old_name                                            | String                       |         799 |   0.4286917657915774726 |
| barrier                                             | String (793),Object (1)      |         794 |   0.4260090889092772448 |
| tunnel                                              | String                       |         713 |   0.3825497234160134541 |
| address.suburb                                      | String                       |         667 |   0.3578690960988512582 |
